Quote Number,Design Quotes,Order Number,OPT,COF,DS,CUST REF,ORGANIZER 1,ORGANIZER 2,SUB SYS ID,ORGANIZER 3,ORGANIZER 4,LIST ID,LIM,O,APC,Quantity,NOMENCLATURE,DESCRIPTION,UNIT LIST,EXT LIST,TOTAL QTY,EXT EXCHANGE RATE,EXT STAGING,EXT FIELD,EXT DROPSHIP,CUSTOMER DISCOUNT (%),UNIT CUSTOMER DISCOUNT,EXT CUSTOMER DISCOUNT,Unit Discount Price Currency,Unit Discount Price,Ext Discount Amount Currency,Ext Discount Amount,FAMILY GROUP,PRODUCT STATUS,PRODUCT STATUS REFRESH DATE,CFG,LOCATION,OPTIONAL,ORGANIZER 5,ORGANIZER 6,ORGANIZER 7,ORGANIZER 8,EID,PID,TERM,Currency,DESIGN QUOTE,REPORT RUN DATE,SORT ORDER,Country of Origin,Parametric Data
QUOTE-3114523,QUOTE-2939727,3203756617,0,0,0,,FIELD,,,NWP GTR,,,3,a,0112,1,CA03863AA,ADD: ASTRO SYSTEM RELEASE 2022.1,0,0,1,,0,0,0,0,0,0,USD,0,USD,0,GTR 8000 Base Radio,,,,,,,,,,,,,USD,QUOTE-3114523,1/15/2026 13:50,03114523-003-19,US,
QUOTE-3114523,QUOTE-2939727,3203756617,0,0,0,,FIELD,,,NWP GTR,,,3,b,0112,1,X530BG,ADD: VHF (136-174 MHZ),6300,6300,1,,0,6300,0,0,0,0,USD,6300,USD,4767.21,GTR 8000 Base Radio,,,,,,,,,,,,,USD,QUOTE-3114523,1/15/2026 13:50,03114523-003-20,US,
QUOTE-3114523,QUOTE-2939727,3203756617,0,0,0,,FIELD,,,NWP GTR,,,3,c,0112,1,CA01948AA,ADD: DIGITAL CONVENTIONAL SOFTWARE,16900,16900,1,,0,16900,0,0,0,0,USD,16900,USD,12788.23,GTR 8000 Base Radio,,,,,,,,,,,,,USD,QUOTE-3114523,1/15/2026 13:50,03114523-003-21,US,
QUOTE-3114523,QUOTE-2939727,3203756617,0,0,0,,FIELD,,,NWP GTR,,,3,d,0112,1,CA01953AA,ADD: POWER EFFICIENCY PACKAGE,500,500,1,,0,500,0,0,0,0,USD,500,USD,378.35,GTR 8000 Base Radio,,,,,,,,,,,,,USD,QUOTE-3114523,1/15/2026 13:50,03114523-003-22,US,
QUOTE-3114523,QUOTE-2939727,3203756617,0,0,0,,FIELD,,,NWP GTR,,,3,e,0112,1,X153AW,ADD: RACK MOUNT HARDWARE,50,50,1,,0,50,0,0,0,0,USD,50,USD,37.84,GTR 8000 Base Radio,,,,,,,,,,,,,USD,QUOTE-3114523,1/15/2026 13:50,03114523-003-23,US,
QUOTE-3114523,QUOTE-2939727,3203756617,0,0,0,,FIELD,,,NWP GTR,,,3,f,0112,1,CA02310AA,ADD: R&TTE CERTIFICATION,0,0,1,,0,0,0,0,0,0,USD,0,USD,0,GTR 8000 Base Radio,,,,,,,,,,,,,USD,QUOTE-3114523,1/15/2026 13:50,03114523-003-24,US,
QUOTE-3114523,QUOTE-2939727,3203756617,0,0,0,,FIELD,,,NWP GTR,,,4,,0112,1,DLN6892A,FRU: XCVR VHF V2,3500,3500,1,,0,3500,0,0,0,0,USD,3500,USD,2648.45,GTR 8000 Base Radio,,,,,,,,,,,,,USD,QUOTE-3114523,1/15/2026 13:50,03114523-004-25,MX,
QUOTE-3114523,QUOTE-2939727,3203756617,0,0,0,,FIELD,,,NWP GTR,,,5,,0112,1,DLN6781A,FRU POWER SUPPLY,2420,2420,1,,0,2420,0,0,0,0,USD,2420,USD,1831.21,GTR 8000 Base Radio,,,,,,,,,,,,,USD,QUOTE-3114523,1/15/2026 13:50,03114523-005-26,US,
QUOTE-3114523,QUOTE-2939727,3203756617,0,0,0,,FIELD,,,NWP GTR,,,6,,0591,1,DLN6898A,FRU: FAN MODULE,300,300,1,,0,300,0,0,0,0,USD,300,USD,300,GTR 8000 Base Radio,,,,,,,,,,,,,USD,QUOTE-3114523,1/15/2026 13:50,03114523-006-27,US,
QUOTE-3114523,QUOTE-2939727,3203756617,0,0,0,,FIELD,,,NWP GTR,,,7,,0112,1,DLN6897A,FRU: PA VHF,3200,3200,1,,0,3200,0,0,0,0,USD,3200,USD,2421.44,GTR 8000 Base Radio,,,,,,,,,,,,,USD,QUOTE-3114523,1/15/2026 13:50,03114523-007-28,MX,
